 : 35
1 : 4
100 : 1
1000 : 2
10000 : 1
11 : 1
1100 : 1
1125 : 1
12thcentury : 1
1323 : 1
14 : 1
140 : 1
1492 : 1
15 : 1
1500 : 1
1503 : 1
154000 : 1
1555 : 1
1559 : 1
1566 : 1
1642 : 1
1666 : 1
1668 : 1
1700 : 1
1715 : 1
1792 : 1
1800 : 1
18000 : 1
1800s : 1
1830 : 1
1832 : 1
1839 : 1
1861 : 2
1862 : 1
1872 : 3
1891 : 1
1893 : 1
19 : 3
19000 : 1
1900s : 1
1901 : 1
1902 : 1
1911 : 1
1918 : 1
1921 : 2
1922 : 3
1925 : 1
1940 : 1
1944 : 1
1945 : 1
1947 : 1
1951 : 1
1953 : 1
1955 : 4
1956 : 1
1958 : 3
1960 : 2
1963 : 2
1964 : 2
1967 : 1
1971 : 1
1972 : 1
1977 : 1
1981 : 1
1982 : 1
1986 : 2
2 : 4
2000 : 3
2100 : 1
22 : 1
23 : 2
24 : 2
25 : 6
2500 : 1
26 : 2
3 : 1
30 : 4
3000 : 2
309 : 1
320 : 1
3200 : 1
33 : 1
36 : 1
370 : 1
37yearold : 1
4 : 4
45 : 1
5 : 3
50 : 2
5000 : 2
500000 : 1
51 : 1
5200 : 1
550 : 2
56 : 1
60 : 1
66 : 1
67 : 1
80 : 1
81 : 1
9 : 1
a : 192
abandon : 1
abandoned : 4
ability : 1
able : 9
abominable : 11
aboriginal : 1
about : 26
above : 3
academy : 1
accident : 1
accidentally : 1
accidents : 3
accompanied : 1
according : 3
accuse : 1
acoustics : 1
across : 1
actor : 4
actors : 1
add : 1
added : 1
adolf : 3
affects : 1
after : 21
again : 5
against : 1
age : 7
ago : 7
agree : 3
agreed : 1
agreement : 2
agrees : 2
ahead : 1
ahmed : 1
air : 4
alcohol : 2
alec : 2
aliens : 3
alive : 1
all : 15
almost : 8
along : 2
already : 1
also : 10
although : 3
altitude : 1
always : 1
am : 1
amazing : 2
amazon : 3
america : 1
american : 8
americans : 1
an : 33
ancient : 9
and : 205
angry : 1
animal : 4
animals : 4
another : 15
answer : 3
answered : 1
answers : 1
anthropologist : 1
antiquities : 1
antoinette : 1
any : 5
anyone : 3
anything : 2
apart : 1
ape : 2
apelike : 1
apologised : 1
apparently : 1
appeared : 1
appearing : 1
approximately : 1
archaeologists : 5
are : 9
area : 12
aristocrat : 1
arizona : 1
army : 1
around : 15
arrived : 3
arthur : 2
arthurs : 1
article : 1
articles : 1
artistic : 1
as : 17
asia : 3
asked : 3
asking : 1
assassination : 1
astrologer : 1
astrology : 3
astronauts : 1
astronomer : 3
astronomical : 1
astronomy : 1
at : 34
ate : 1
atlantic : 5
atlantis : 1
atmosphere : 1
attempting : 1
attention : 1
attracted : 1
australia : 3
australian : 3
authentic : 1
authorities : 2
autumn : 1
avon : 1
away : 6
azores : 4
b : 1
back : 8
bacteria : 1
bad : 11
badly : 1
banished : 1
banker : 1
bankrupt : 1
baptiste : 1
barbados : 1
barkuis : 1
barrels : 2
barris : 4
barriss : 1
bastard : 8
bastards : 2
battlefield : 1
battles : 1
bc : 7
be : 18
bear : 1
beast : 1
beasts : 1
beaten : 1
beaumont : 1
beautiful : 1
became : 12
because : 11
become : 1
been : 22
before : 4
began : 10
begun : 1
behind : 1
being : 1
beliefs : 1
believe : 13
believed : 3
believes : 2
belong : 2
belonged : 4
below : 1
benedite : 1
benjamin : 1
bermuda : 12
better : 1
between : 2
